Name	Order	Customer PO	    Line	Status	Customer Item	Description	Customer Item	Qty Ordered	U/M	Due date	Unit Price	Net Price	Currency
Leonardo Helicopters	81112437	F--L32A319-165-001--1	3	Ordered	L44-210	PARK BRAKE CONTROL ASSY	109-0506-64-103	5	ST	08/04/2025	842,29	4.211,45	EUR
Leonardo Helicopters	81112435	F--L32A319-165-001--1	1	Ordered	L44-210	PARK BRAKE CONTROL ASSY	109-0506-64-103	10	ST	08/01/2026	842,29	8.422,90	EUR
Leonardo Helicopters	81112430	F--L32A319-165-001--1	3	Ordered	L44-110-17	ELEKTRISCHE VERKABELUNG		4	ST	24/11/2025	423,3	1.693,20	EUR
Leonardo Helicopters	81112423	F--L32A319-165-001--1	20	Ordered	L44A169-16-7	WASHER, LOCK	L44A169-16-7	30	ST	24/11/2025	8,42	252,6	EUR
Leonardo Helicopters	81112420	F--L32A319-165-001--1	2	Ordered	L44A169-16-8	BELLOW	L44A169-16-8	20	ST	25/08/2025	11,48	229,6	EUR
Leonardo Helicopters	81112420	F--L32A319-165-001--1	3	Ordered	L44A169-16-8	BELLOW	L44A169-16-8	20	ST	18/11/2027	11,48	229,6	EUR
Leonardo Helicopters	81112419	F--L32A319-165-001--1	1	Ordered	L44-290	PARK BRAKE CONTROL ASSY	129-0760-15-107	1	ST	30/05/2025	855,16	855,16	EUR
Leonardo Helicopters	81112419	F--L32A319-165-001--1	2	Ordered	L44-290	PARK BRAKE CONTROL ASSY	129-0760-15-107	1	ST	27/06/2025	855,16	855,16	EUR
Leonardo Helicopters	81112419	F--L32A319-165-001--1	3	Ordered	L44-290	PARK BRAKE CONTROL ASSY	129-0760-15-107	1	ST	25/07/2025	855,16	855,16	EUR
Leonardo Helicopters	81112419	F--L32A319-165-001--1	4	Ordered	L44-290	PARK BRAKE CONTROL ASSY	129-0760-15-107	1	ST	29/08/2025	855,16	855,16	EUR
Leonardo Helicopters	81112419	F--L32A319-165-001--1	5	Ordered	L44-290	PARK BRAKE CONTROL ASSY	129-0760-15-107	1	ST	26/09/2025	855,16	855,16	EUR
Leonardo Helicopters	81112419	F--L32A319-165-001--1	6	Ordered	L44-290	PARK BRAKE CONTROL ASSY	129-0760-15-107	1	ST	27/10/2025	855,16	855,16	EUR
Leonardo Helicopters	81112417	F--L32A319-165-001--1	5	Ordered	L44-290	PARK BRAKE CONTROL ASSY	129-0760-15-107	1	ST	25/04/2025	855,16	855,16	EUR
Leonardo Helicopters	81112251	F--L32A319-165-001--1	4	Ordered	L44AW249-232	Tail Rotor Control - FWD Section		2	ST	18/04/2025	4.678,26	9.356,52	EUR
Leonardo Helicopters	81112251	F--L32A319-165-001--1	5	Ordered	L44AW249-332	Tail Rotor Control - AFT Section		2	ST	18/04/2025	3.178,58	6.357,16	EUR
