Name	Order	Customer PO	    Line	Status	Customer Item	Description	Customer Item	Qty Ordered	U/M	Due date	Unit Price	Net Price	Currency
EUROCOPTER DEUTSCHLAND GmbH	80290029	F--L32A319-165-001--1	1	Ordered	DIN65457-16Y	THIMBLE - LN6899-16Y	Id.Nr. 775139	1.000,00	ST	08/04/2025	2,14	2.140,00	EUR
EUROCOPTER DEUTSCHLAND GmbH	80290029	F--L32A319-165-001--1	2	Ordered	DIN65457-16Y	THIMBLE - LN6899-16Y	Id.Nr. 775139	500	ST	07/06/2025	2,14	1.070,00	EUR
EUROCOPTER DEUTSCHLAND GmbH	80290017	F--L32A319-165-001--1	1	Ordered	L2-117-96	CONTROL BOX ASSY	Id.Nr. 804654	3	ST	23/07/2025	1.951,06	5.853,18	EUR
EUROCOPTER DEUTSCHLAND GmbH	80290017	F--L32A319-165-001--1	2	Ordered	L2-117-96	CONTROL BOX ASSY	Id.Nr. 804654	3	ST	01/12/2025	1.951,06	5.853,18	EUR
EUROCOPTER DEUTSCHLAND GmbH	80290017	F--L32A319-165-001--1	3	Ordered	L2-117-96	CONTROL BOX ASSY	Id.Nr. 804654	3	ST	16/03/2026	1.951,06	5.853,18	EUR
